Matchup_ID,Confederation 1,Confederation 2,Is_Derby,2018 Games,2014 Games,Total Games,Results,Wins for Confed 1,Wins for Confed 2,Draws,2014 Wins 1,2014 Wins 2,2014 Draws,Winning % for confed 1,Winning % for confed 2,2018 Goals,2018 Cards,2018 Fouls,2014 Goals,2014 Cards,2014 Fouls,Average Goals,Average Cards,Average Fouls,2018 Goal Differential,2014 goal dif,avg goal dif,2018 Fouls by Confed 1,2018 Fouls by Confed 2,2014 Fouls by Confed 1,2014 Fouls by Confed 2,Avg Fouls by confed 1,Avg Fouls by confed 2
2,UEFA,CAF,,8,9,17,"UEFA,UEFA,CAF,UEFA,UEFA,CAF,UEFA,",5,2,1,6,1,2,0.6470588235,0.1764705882,26,19,210,25,23,263,3,2.470588235,27.82352941,1.5,1.22,1.351764706,93,117,119,144,12.47058824,15.35294118
3,UEFA,CONCACAF,,6,11,17,"UEFA,CONCACAF,UEFA,UEFA,UEFA,",4,1,1,6,3,2,0.5882352941,0.2352941176,19,31,168,24,41,334,2.529411765,4.235294118,29.52941176,2.17,1.09,1.471176471,76,92,165,169,14.17647059,15.35294118
4,UEFA,CONMEBOL,,11,15,26,",UEFA,,UEFA,UEFA,CONMEBOL,CONMEBOL,CONMEBOL,UEFA,CONMEBOL,UEFA",5,4,2,5,9,1,0.3846153846,0.5,29,43,326,35,47,461,2.461538462,3.461538462,30.26923077,1.36,1.67,1.538846154,133,95,246,215,14.57692308,11.92307692
5,UEFA,OFC,,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,#DIV/0!,#DIV/0!
6,UEFA,AFC,,9,6,15,"UEFA,UEFA,UEFA,UEFA,,,AFC,UEFA,UEFA",6,1,2,4,0,2,0.6666666667,0.06666666667,22,25,241,15,19,193,2.466666667,2.933333333,28.93333333,1.33,1.17,1.266,105,114,98,95,13.53333333,13.93333333
8,CAF,CONCACAF,,1,2,3,CAF,1,0,0,0,2,0,0.3333333333,0.6666666667,3,6,37,4,4,45,2.333333333,3.333333333,27.33333333,1,1,1,19,18,22,23,13.66666667,13.66666667
9,CAF,CONMEBOL,,3,3,6,"CONMEBOL,CONMEBOL,CONMEBOL",0,3,0,0,3,0,0,1,5,9,83,13,7,81,3,2.666666667,27.33333333,1,1.67,1.335,47,36,45,36,15.33333333,12
10,CAF,OFC,,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,#DIV/0!,#DIV/0!
11,CAF,AFC,,3,3,6,"AFC,,AFC",0,2,1,2,0,1,0.3333333333,0.3333333333,8,11,81,9,8,88,2.833333333,3.166666667,28.16666667,0.67,1,0.835,52,29,44,44,16,12.16666667
13,CONCACAF,CONMEBOL,,2,3,5,"CONMEBOL,CONMEBOL",0,2,0,1,1,1,0.2,0.6,4,9,45,7,13,101,2.2,4.4,29.2,2,1,1.4,11,11,51,50,12.4,12.2
14,CONCACAF,OFC,,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,#DIV/0!,#DIV/0!
15,CONCACAF,AFC,,1,0,1,CONCACAF,1,0,0,0,0,0,1,0,3,4,31,0,0,0,3,4,31,1,0,1,7,24,,,7,24
17,CONMEBOL,OFC,,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,#DIV/0!,#DIV/0!
18,CONMEBOL,AFC,,3,3,6,"AFC,CONMEBOL,CONMEBOL",2,1,0,3,0,0,0.8333333333,0.1666666667,6,10,73,10,8,78,2.666666667,3,25.16666667,1.33,2,1.665,37,36,36,42,12.16666667,13
20,OFC,AFC,,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,,
1,UEFA,UEFA,1,9,6,15,",UEFA,UEFA,,UEFA,UEFA,UEFA,UEFA,UEFA",7,7,2,6,6,0,0.8666666667,0.8666666667,21,26,215,22,13,145,2.866666667,2.6,24,0.56,2.33,1.268,,,,,12,
7,CAF,CAF,1,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,,
12,CONCACAF,CONCACAF,1,0,0,0,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,,
16,CONMEBOL,CONMEBOL,1,0,3,3,,0,0,0,3,3,0,1,1,0,0,0,7,14,141,2.333333333,4.666666667,47,0,1,1,,,,,23.5,
19,OFC,OFC,1,0,0,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,,
21,AFC,AFC,1,0,0,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Conmebol+UEFA dominate AFC, CAF, CONCACAF",,,,,,,,CAF tends to have high scoring games,Americas foul it up,Americas foul it up pt2,,,Conmebol/afc lopsided,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,conmebol/uefa drastic,<- brazil germany strikes again lol,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,caf/afc tight,,,,,,